,Latitude,Longitude,City,Country Code,Temperature,Humidity,Cloudiness,Wind Speed
94,73.96187560005308,-166.94689327389878,lavrentiya,ru,11.67,100,8,21.72
95,9.346450999802897,-10.35429653598976,kissidougou,gn,77.55,72,0,9.19
96,-85.5883462128312,35.32988939972074,port elizabeth,za,75.2,69,20,8.05
97,48.02302456733574,-84.97824738730911,wawa,ca,4.74,83,20,5.95
98,-40.29026296293047,174.6345246247161,waverley,nz,56.67,61,36,15.79
100,-71.70761883138474,128.40480237335845,new norfolk,au,57.2,93,75,19.46
102,-21.057207447343558,123.56697085999781,broome,au,96.8,39,0,5.82
103,8.396927639041223,-149.47092882867216,hilo,us,77,83,90,3.36
104,82.97889104129027,-48.45814469121839,upernavik,gl,2.67,96,24,10.76
105,9.494752770723721,-137.12921519853063,atuona,pf,81.69,100,12,14
106,-5.175788778999248,-159.1433949391161,faanui,pf,82.95,99,0,6.96
107,37.1895458029048,-75.47295693763704,virginia beach,us,42.15,48,1,12.75
108,-55.35373372225861,80.87572956419433,busselton,au,75.3,82,0,8.52
109,-7.813079709206477,58.47598638890307,victoria,sc,87.8,62,20,10.29
110,18.867851076667677,-7.005180365682833,araouane,ml,92.4,10,0,11.21
111,80.5966274128539,34.62241792721912,vardo,no,28.94,86,40,11.41
112,-63.14216446700888,0.8966020218146298,cape town,za,71.6,68,20,5.82
113,71.59976258878322,23.018809557058518,hammerfest,no,32.23,74,40,9.17
114,-56.665748222218504,-167.9821700058888,vaini,to,78.8,88,20,9.17
115,-72.2706987836297,-73.43595994287554,ushuaia,ar,41,86,75,27.51
117,42.115787516393596,139.80489993317826,kamiiso,jp,37.4,44,0,13.87
118,86.4846608548605,155.77522387186264,chokurdakh,ru,14.46,74,8,5.39
119,-61.27494636807868,26.94270540344138,kruisfontein,za,75.03,82,0,8.3
120,-77.29438204795498,-131.2851011653409,rikitea,pf,78.09,100,92,8.41
122,37.41273544725726,119.79096824665305,laizhou,cn,41.1,89,92,8.63
123,71.10222764852105,150.63631927083537,chokurdakh,ru,14.46,74,8,5.39
124,-1.5868408781447556,-94.17986974681209,puerto ayora,ec,73.68,100,0,5.06
125,19.54324889717698,-174.76825553263822,kapaa,us,75.18,88,90,14.99
126,16.32191906447119,-70.06832960728738,bani,do,75.57,100,64,11.54
127,38.65835003533758,-118.48186685471617,fallon,us,32,71,90,9.17
128,-24.505107221589697,-63.91609103620452,san pedro,ar,62.43,87,0,2.59
130,-28.615970621512496,101.96746603504664,carnarvon,au,86.37,68,0,18.81
132,-27.15068113586034,-45.60251506766514,porto belo,br,66.2,93,40,12.75
133,5.801679874611608,-27.11297244005351,sao filipe,cv,70.26,100,0,15.79
135,63.40712142735569,-125.89801184810753,norman wells,ca,3.2,65,20,5.82
136,-1.9348585034664154,115.11707475298329,amuntai,id,82.14,87,44,2.59
138,-77.38267962699338,54.224198323703206,east london,za,73.4,83,40,9.17
140,-68.52694512670473,-33.88236512584899,ushuaia,ar,41,86,75,27.51
142,-59.21573278648757,-90.37930390854905,punta arenas,cl,39.2,80,40,16.11
143,-19.46681904391768,141.47975260085678,mount isa,au,87.8,27,90,10.29
144,74.22504390053084,0.05384743995020358,roald,no,34.36,93,75,5.82
146,35.19232646317441,-113.24252233537885,kingman,us,66.61,28,1,11.41
151,-27.606351352698475,-122.10765313564475,rikitea,pf,78.09,100,92,8.41
152,46.310789198453136,161.20550870242687,severo-kurilsk,ru,26.52,100,64,6.06
153,28.640993034364442,-123.36264470103825,lompoc,us,49.35,100,1,4.7
155,-4.511222965715433,-107.03672164212855,puerto ayora,ec,73.68,100,0,5.06
156,-36.65359906708341,-48.08502911384184,rio grande,br,63.15,100,0,1.81
157,25.92831295714484,-62.657274295722786,hamilton,bm,69.8,94,75,12.75
158,-82.07609685448622,-58.42009496854354,ushuaia,ar,41,86,75,27.51
159,66.54084170892406,-166.76170463207671,nome,us,53.11,54,1,5.82
160,-81.56487058248135,-167.0593771437397,avarua,ck,75.2,94,90,11.41
161,-17.800189028324212,-120.49710648056612,rikitea,pf,78.09,100,92,8.41
162,-0.9080932562535793,53.19295602334577,victoria,sc,87.8,62,20,10.29
163,-18.872012550048836,129.48644525299392,kununurra,au,95,36,64,4.7
164,59.53273740236534,-150.10300152449767,sterling,us,34.97,55,90,11.41
165,45.23768484918597,106.78663922787439,mandalgovi,mn,23.55,65,8,23.96
166,-68.74778994299425,107.82928230823046,albany,au,67.56,67,20,9.19
